parent_code,child_code
CNDGT_HOU_OT1,slc.12.1497.04
CNDGT_HOU_OT1,slc.12.1497.05
CNDGT_HOU_OT1,slc.12.1497.06
CNDGT_HOU_OT1,slc.12.1497.07
CNDGT_HOU,CNDGT_HOU_OT2
CNDGT_HOU_OT2,slc.12.1498.01
CNDGT_HOU_OT2,slc.12.1498.02
CNDGT_HOU_OT2,slc.12.1498.03
CNDGT_HOU_OT2,slc.12.1498.04
CNDGT_HOU_OT2,slc.12.1498.05
CNDGT_HOU_OT2,slc.12.1498.06
CNDGT_HOU_OT2,slc.12.1498.07
CNDGT,CNDGT_REC
CNDGT_REC,CNDGT_REC_PRK
CNDGT_REC_PRK,slc.12.1610.01
CNDGT_REC_PRK,slc.12.1610.02
CNDGT_REC_PRK,slc.12.1610.03
CNDGT_REC_PRK,slc.12.1610.04
CNDGT_REC_PRK,slc.12.1610.05
CNDGT_REC_PRK,slc.12.1610.06
CNDGT_REC_PRK,slc.12.1610.07
CNDGT_REC,CNDGT_REC_REC
CNDGT_REC_REC,CNDGT_REC_REC_PRO
CNDGT_REC_REC_PRO,slc.12.1620.01
CNDGT_REC_REC_PRO,slc.12.1620.02
CNDGT_REC_REC_PRO,slc.12.1620.03
CNDGT_REC_REC_PRO,slc.12.1620.04
CNDGT_REC_REC_PRO,slc.12.1620.05
CNDGT_REC_REC_PRO,slc.12.1620.06
CNDGT_REC_REC_PRO,slc.12.1620.07
CNDGT_REC_REC,CNDGT_REC_REC_GLF
CNDGT_REC_REC_GLF,slc.12.1631.01
CNDGT_REC_REC_GLF,slc.12.1631.02
CNDGT_REC_REC_GLF,slc.12.1631.03
CNDGT_REC_REC_GLF,slc.12.1631.04
CNDGT_REC_REC_GLF,slc.12.1631.05
CNDGT_REC_REC_GLF,slc.12.1631.06
CNDGT_REC_REC_GLF,slc.12.1631.07
CNDGT_REC_REC,CNDGT_REC_REC_OTH
CNDGT_REC_REC_OTH,slc.12.1634.01
CNDGT_REC_REC_OTH,slc.12.1634.02
CNDGT_REC_REC_OTH,slc.12.1634.03
CNDGT_REC_REC_OTH,slc.12.1634.04
CNDGT_REC_REC_OTH,slc.12.1634.05
CNDGT_REC_REC_OTH,slc.12.1634.06
CNDGT_REC_REC_OTH,slc.12.1634.07
CNDGT_REC,CNDGT_REC_LIB
CNDGT_REC_LIB,slc.12.1640.01
CNDGT_REC_LIB,slc.12.1640.02
CNDGT_REC_LIB,slc.12.1640.03
CNDGT_REC_LIB,slc.12.1640.04
CNDGT_REC_LIB,slc.12.1640.05
CNDGT_REC_LIB,slc.12.1640.06
CNDGT_REC_LIB,slc.12.1640.07
CNDGT_REC,CNDGT_REC_MUS
CNDGT_REC_MUS,slc.12.1645.01
CNDGT_REC_MUS,slc.12.1645.02
CNDGT_REC_MUS,slc.12.1645.03
CNDGT_REC_MUS,slc.12.1645.04
CNDGT_REC_MUS,slc.12.1645.05
CNDGT_REC_MUS,slc.12.1645.06
CNDGT_REC_MUS,slc.12.1645.07
CNDGT_REC,CNDGT_REC_CUL
CNDGT_REC_CUL,slc.12.1650.01
CNDGT_REC_CUL,slc.12.1650.02
